Date,Open,High,Low,Close,Volume
2018-06-21,49.0084,49.0862,48.4587,48.5255,444148.42376455
2018-06-22,48.8358,48.8548,48.4487,48.738,188164.33439149
2018-06-25,48.4866,48.4866,47.3145,47.7355,2599790.3541669
2018-06-26,47.9948,48.0527,47.6387,47.8143,107741.14764654
2018-06-27,48.0926,48.2662,47.3943,47.3943,150190.64457519
2018-06-28,47.3943,48.0627,47.2706,47.8681,348572.65016401
2018-06-29,48.0726,48.1116,47.7065,47.8113,157820.06628449
2018-07-02,47.4043,48.1116,47.2407,48.1116,332841.66673422
2018-07-03,48.2662,48.2662,47.4831,47.522,100962.78086184
2018-07-05,47.8681,48.2662,47.6187,48.2462,336556.63675849
2018-07-06,48.4028,49.0523,48.1963,49.0084,206950.69521846
2018-07-09,49.4234,49.4234,48.8947,49.2887,122358.44200537
2018-07-10,49.4334,49.4334,49.1061,49.2678,1194742.7801352
2018-07-11,48.9415,49.4533,48.8947,49.2009,235692.09309643
2018-07-12,49.5221,49.975,49.3635,49.975,374350.89332214
2018-07-13,49.985,50.005,49.6638,49.8972,82956.30311066
2018-07-16,49.985,49.985,49.6648,49.7496,208109.49320768
2018-07-17,49.0463,49.8873,48.9605,49.7586,178759.62614334
2018-07-18,49.7985,49.8074,49.4533,49.6179,153145.77993178
2018-07-19,49.6468,49.6837,49.2358,49.2687,267729.44926899
2018-07-20,49.2787,49.4094,49.0762,49.1061,164082.18656015
2018-07-23,49.162,49.3266,48.8947,49.3087,98157.006145728
2018-07-24,50.3003,50.3003,49.3835,49.6548,218790.28263255
2018-07-25,49.7406,50.0768,49.5999,50.0149,634021.8849481
2018-07-26,48.0248,48.2851,47.8492,48.1265,863596.20630731
2018-07-27,48.0447,48.1026,46.9494,47.2137,1151141.5021601
2018-07-30,47.3195,47.3195,46.2082,46.4705,260283.47049396
2018-07-31,46.692,47.079,46.4705,46.7778,1254939.1279299
2018-08-01,46.8765,47.088,46.4496,46.5862,1295325.6436632
2018-08-02,46.4216,46.9703,46.2381,46.8935,197563.02811721
2018-08-03,47.1678,47.2327,46.9603,47.2137,121366.04580353
2018-08-06,47.2137,47.6976,47.1289,47.6876,114217.78588906
2018-08-07,47.9569,48.0716,47.7065,47.7454,133476.28672721
2018-08-08,47.8302,47.8781,47.6467,47.7065,118304.65388391
2018-08-09,47.7454,48.1534,47.7454,47.9669,317372.31503038
2018-08-10,47.8113,47.8113,47.4442,47.5619,183959.18078874
2018-08-13,47.6187,47.8881,47.4641,47.493,270417.94079761
2018-08-14,47.7265,47.908,47.4043,47.8302,196622.75777647
2018-08-15,47.532,47.5898,46.8067,47.1678,575097.60864848
2018-08-16,47.4841,47.527,47.0691,47.1489,183961.18562955
2018-08-17,46.9703,47.119,46.7209,46.9234,235079.61422842
2018-08-20,47.1589,47.1589,46.693,47.0002,151017.64141005
2018-08-21,47.2506,47.522,47.119,47.2895,398719.73338957
2018-08-22,47.1589,47.3284,47.0591,47.2327,519890.30721395
2018-08-23,47.1858,47.4641,47.0292,47.0391,293919.68721394
2018-08-24,47.2606,47.7265,47.1858,47.7265,342773.64811588
2018-08-27,48.0248,48.2841,47.938,48.1864,309992.49600214
2018-08-28,48.324,48.324,47.909,47.9769,155637.79706085
2018-08-29,48.1026,48.2851,47.9469,48.2462,280599.52486034
2018-08-30,48.0826,48.2991,47.7634,47.9469,356788.48781077
2018-08-31,47.8981,47.8981,47.3404,47.4741,243412.73506267
2018-09-04,47.3484,47.3484,46.7209,46.8855,356045.69429
2018-09-05,46.8366,46.8366,46.1044,46.277,801399.02738244
2018-09-06,46.2481,46.3139,45.5328,45.9298,621139.78031188
2018-09-07,45.6395,46.286,45.5907,46.0266,782885.32490587
2018-09-10,46.3139,46.3139,45.9089,46.1244,322045.59896268
2018-09-11,46.0645,46.682,46.0066,46.5862,637880.20109041
2018-09-12,46.4605,46.5763,46.1912,46.4506,738921.17074391
2018-09-13,46.6341,46.8366,46.5394,46.7778,781607.23888835
2018-09-14,46.9514,46.9514,46.5763,46.692,1233634.6870433
2018-09-17,46.7399,46.7399,46.1992,46.2381,839917.03147915
2018-09-18,46.286,46.7309,46.2381,46.5673,445812.44163834
2018-09-19,46.6162,46.7399,46.3239,46.692,2471036.4699719
2018-09-20,47.079,47.2506,46.8366,47.2037,4717917.7032989
2018-09-21,47.4452,47.4651,46.8656,46.9893,8239241.1559729
2018-09-24,46.6621,47.0591,46.4685,46.9893,6993978.3922212
2018-09-25,46.9793,47.089,46.701,47.0092,4127308.6412895
2018-09-26,47.089,47.6686,47.0391,47.1948,5877370.2730444
2018-09-27,47.4851,47.939,47.3195,47.6008,3770449.9840503
2018-09-28,47.494,47.5429,47.2317,47.4252,2383169.3092927
2018-10-01,47.5908,47.6397,47.0092,47.2327,7890360.7627443
2018-10-02,47.2037,47.3883,47.0192,47.1948,6016757.8329052
2018-10-03,47.4551,47.6098,47.2796,47.4053,5317146.5783786
2018-10-04,47.3584,47.3584,46.3309,46.7299,5467847.4549404
2018-10-05,46.7967,46.9693,45.9558,46.283,2736530.5217357
2018-10-08,46.0715,46.292,45.4979,46.1303,2242024.5064604
2018-10-09,46.1303,46.5743,46.0426,46.1014,2057510.9871872
2018-10-10,46.0037,46.0136,44.2409,44.2798,4185285.6303056
2018-10-11,44.193,44.7846,43.4867,43.9017,9134672.2295308
2018-10-12,44.9492,45.0061,44.1262,44.8814,6072588.6398322
2018-10-15,44.7257,45.1806,44.5232,44.7078,1629265.9631623
2018-10-16,45.1906,45.9787,45.1118,45.8869,3830763.6150325
2018-10-17,46.2062,46.2062,45.5966,46.0715,4722760.3962798
2018-10-18,45.9637,45.9637,44.8884,45.2295,22004177.44367
2018-10-19,45.4909,45.8869,45.043,45.2196,3662012.1542217
2018-10-22,45.4819,45.6066,45.016,45.1906,2801706.894107
2018-10-23,44.5512,45.2884,44.1711,45.0919,2871787.1071038
2018-10-24,45.0819,45.0819,42.8972,42.9461,3670386.3742926
2018-10-25,43.7212,44.6679,43.7212,44.3686,3504236.1944351
2018-10-26,43.0039,44.1352,42.6248,43.1685,5402755.2858833
2018-10-29,43.8429,44.1352,41.6871,42.5001,3606824.9011953
2018-10-30,42.4323,43.7212,42.2627,43.6613,6492143.6813584
2018-10-31,44.5133,45.053,44.3197,44.5601,3695915.0147696
2018-11-01,44.7078,44.9203,44.2698,44.8235,2634737.7367778
2018-11-02,44.9592,45.2475,44.0803,44.3686,2715827.5330927
2018-11-05,44.4534,44.4534,43.8618,44.1831,2520492.8855378
2018-11-06,44.2319,44.6978,44.1072,44.4454,2107983.8570447
2018-11-07,44.9013,45.2884,44.6878,45.2595,2795607.1659371
2018-11-08,45.2884,45.2884,44.5691,44.8325,1338739.4690223
2018-11-09,44.2698,44.4354,43.5656,43.9107,2308641.3569549
2018-11-12,43.8618,43.9107,43.0698,43.2553,1243683.9516124
2018-11-13,43.4468,43.8349,43.0318,43.1196,2258632.6077454
2018-11-14,43.5855,43.7012,42.984,43.3321,2208552.686687
2018-11-15,43.1296,43.7312,43.0129,43.6523,3304029.7837075
2018-11-16,43.4,43.6045,43.0219,43.4369,2161566.2350012
2018-11-19,43.2922,43.3221,41.9973,42.122,2436276.5399769
2018-11-20,41.3659,42.0253,41.0177,41.5694,5195004.6591809
2018-11-21,41.9973,42.4522,41.9295,42.0642,3293197.6288014
2018-11-23,41.8018,41.9385,41.5115,41.5115,689207.1331337
2018-11-26,41.9973,42.4722,41.8906,42.4622,2648806.7071746
2018-11-27,42.3156,42.7306,42.132,42.5959,2184556.7470106
2018-11-28,42.8184,43.4867,42.3256,43.4867,2797280.2055945
2018-11-29,43.2553,43.8479,43.1047,43.6324,2322314.3712914
2018-11-30,43.7112,43.7112,43.2064,43.5656,5748076.0842506
2018-12-03,44.5033,44.5033,43.4568,43.6324,5982545.2244518
2018-12-04,43.5556,43.806,42.2477,42.3445,3376477.7137031
2018-12-06,41.717,42.8184,41.5893,42.8184,3678531.0400905
2018-12-07,42.6747,43.0219,41.8208,42.0073,2713037.7971031
2018-12-10,42.122,42.5301,41.5285,42.3256,3491632.7626717
2018-12-11,42.8383,42.9361,42.132,42.3635,4572718.1099247
2018-12-12,42.7605,43.39,42.7605,42.8184,3463891.7803588
2018-12-13,42.956,43.1097,42.3545,42.6248,2049914.6453513
2018-12-14,42.1889,42.7206,42.122,42.2088,1974228.8974446
2018-12-17,42.0542,42.4323,41.0746,41.3848,3383685.1164215
2018-12-18,41.6093,42.0253,41.33,41.5694,3716786.4100409
2018-12-19,41.5115,42.1699,40.4471,40.6795,5903748.9660256
2018-12-20,40.4371,40.8551,39.4565,39.9633,9367912.4023144
2018-12-21,40.062,40.3992,38.3532,38.6524,8226504.4022956
2018-12-24,38.3821,38.9916,37.8374,37.8374,4004843.9427211
2018-12-26,38.1287,39.9832,37.9072,39.9633,4226798.8665751
2018-12-27,39.4096,40.1488,38.5946,40.1488,3881545.230375
2018-12-28,40.3044,40.6217,39.7677,40.0221,2710702.1575573
2018-12-31,40.3324,40.469,39.5762,40.082,5462355.1935365
2019-01-02,39.4186,40.8162,39.3418,40.6127,4764207.4728026
2019-01-03,40.3513,40.6616,39.8655,39.9333,3536419.9039869
2019-01-04,40.5937,41.7599,40.4591,41.6542,2727112.7820223
2019-01-07,41.7031,42.3036,41.5644,42.129,4169884.4431893
2019-01-08,42.537,42.8972,42.2258,42.8373,2208956.6621106
2019-01-09,42.974,43.0039,42.5181,42.8972,1895843.6313849
2019-01-10,42.7096,43.0418,42.3914,42.984,1380570.4725605
2019-01-11,42.7096,42.8373,42.3914,42.7695,1264665.6131283
2019-01-14,42.4892,42.7805,42.2837,42.6149,2415100.4089023
2019-01-15,42.8273,43.4189,42.7495,43.3231,2533304.8207456
2019-01-16,43.371,43.4778,43.0797,43.1396,20952687.556481
2019-01-17,43.0418,43.4289,42.9071,43.3132,3410122.9522067
2019-01-18,43.6344,43.9586,43.4578,43.6633,3476795.938244
2019-01-22,43.362,43.4189,42.4892,42.7595,4473186.7854025
2019-01-23,43.0039,43.0797,42.1759,42.566,2616503.7095945
2019-01-24,42.547,42.8074,42.3236,42.7595,2964905.9482895
2019-01-25,43.1396,43.4379,43.0598,43.3032,3441107.7669531
2019-01-28,42.8972,42.984,42.548,42.9271,4457706.4070742
2019-01-29,42.8972,42.9071,42.2837,42.4213,1172136.1951413
2019-01-30,42.6737,43.1126,42.2448,43.0318,2655393.6116618
2019-01-31,44.1771,44.9741,44.0933,44.7906,4942463.8839021
2019-02-01,44.6928,45.0121,44.5741,44.634,4526688.9697266
2019-02-04,44.6729,45.05,44.5282,45.05,3813926.961895
2019-02-05,45.0121,45.5847,44.9831,45.5458,2460046.935062
2019-02-06,45.1777,45.1777,44.4305,44.5282,3861092.8468334
2019-02-07,44.1302,44.2629,43.6254,44.1003,2411589.9326408
2019-02-08,43.788,44.4015,43.7501,44.4015,2678194.6662144
2019-02-11,44.5841,44.6828,43.9137,43.9436,2122794.6185418
2019-02-12,44.3626,44.604,44.3427,44.4484,2516077.2236498
2019-02-13,44.634,44.8285,44.4404,44.4783,3729092.1229437
2019-02-14,44.2449,44.8465,44.0633,44.6439,2166225.4850479
